id,region,name,majors_in_icis_npdes,non_majors_in_icis_npdes,major_pollutant_loadings,non_major_pollutant_loadings,major_pollutant_loadings_percentage,non_majors_pollutant_loadings,major_pollutants_pounds,non_major_total_pollutants_pounds,major_toxic_weighted_pounds,non_major_toxic_weighted_pounds,date,
15,9,Hawaii,19,118,17,34,89,29,54657873,48391592,72329,2627,1/1/11,
16,10,Idaho,39,139,38,122,97,88,56024188,3634017,78170,4286,1/1/11,
17,5,Illinois,273,1355,273,1254,100,93,1393341551,9037690700,2922269,510725,1/1/11,
18,5,Indiana,197,1342,195,1319,99,98,2249648928,101742315,574124,72180,1/1/11,
19,7,Iowa,142,1441,131,1033,92,72,11482398,48440108,7800,2383,1/1/11,
20,7,Kansas,58,1530,55,500,95,33,200203784,74587404,4149260,5463,1/1/11,
21,4,Kentucky,142,1667,140,1551,99,93,391772703,587795773,823678,1352498,1/1/11,
22,6,Louisiana,241,1263,234,501,97,40,2490169782,12027705,968922,135485,1/1/11,
23,1,Maine,76,376,72,209,95,56,88402560,7023559,21134,687506,1/1/11,
24,9,Mariana Islands,2,4,2,3,100,75,627081,55621404,342,0,1/1/11,
25,3,Maryland,97,872,83,473,86,54,126720618,137509957,432843,47689,1/1/11,
26,1,Massachusetts,127,135,123,118,97,87,144500589,132032487,558311,140905,1/1/11,
27,5,Michigan,199,504,193,428,97,85,984927416,91726821,1484545,335870,1/1/11,
28,5,Minnesota,104,658,99,222,95,34,846723368,4982885,2821144,761,1/1/11,
29,4,Mississippi,95,1287,95,1221,100,95,53759855,1020507464,60112,24285,1/1/11,
30,7,Missouri,179,3019,175,2578,98,85,383359283,5815805918,7381402,46810794,1/1/11,
31,8,Montana,33,169,31,161,94,95,162721336,90762821,20793,32212,1/1/11,
32,7,Nebraska,53,695,53,600,100,86,90048990,1413632582,530378,25474,1/1/11,
33,9,Nevada,14,114,11,61,79,54,589601762,0,6989,0,1/1/11,
34,1,New Hampshire,49,38,48,36,98,95,17776898,1673797,34680,1180,1/1/11,
35,2,New Jersey,135,78,135,60,100,77,327120282,148409,257364,269,1/1/11,
36,6,New Mexico,38,109,38,104,100,95,38812995,11659798,10828,61316,1/1/11,
37,2,New York,327,1260,324,1083,99,86,966769687,319022447,1592934,139843,1/1/11,
38,4,North Carolina,228,1257,219,930,96,74,81405216089,49166931,3250247922,10488,1/1/11,
39,8,North Dakota,25,79,25,25,100,32,80284889,0,140536,0,1/1/11,
40,5,Ohio,295,3113,295,2983,100,96,3746116747,1917300853,1073725,134001,1/1/11,
41,6,Oklahoma,104,388,104,385,100,99,221982587,293557535,38512,10061,1/1/11,
42,10,Oregon,74,296,66,176,89,59,81077517,28410,74215,498,1/1/11,
43,3,Pennsylvania,406,4074,396,608,98,15,1741950322,85745345,223890844,131374,1/1/11,
44,2,Puerto Rico,86,173,86,170,100,98,1355619881,131094594,334159,567283,1/1/11,
45,1,Rhode Island,25,67,25,60,100,90,25652774,19413006,113928,9537,1/1/11,
46,4,South Carolina,171,303,163,292,95,96,91980923,4491871,148595,3729,1/1/11,
47,8,South Dakota,23,290,23,270,100,93,16093561,42157672,6018,1017,1/1/11,
48,4,Tennessee,163,1097,160,572,98,52,922449056,476152591,5064445,169092,1/1/11,
49,6,Texas,721,2250,705,2067,98,92,788586983,4700070518,1140632,1551306,1/1/11,
50,8,Utah,41,138,40,90,98,65,475057048,295337129,2335508,6795,1/1/11,
51,1,Vermont,34,141,34,118,100,84,19821697,1071358,18574,2615,1/1/11,
52,2,Virgin Islands,7,63,7,59,100,94,41394845,29338310,1751,762,1/1/11,
53,3,Virginia,144,819,126,174,88,21,824349877,623567,18390,2301,1/1/11,
54,10,Washington,77,388,58,248,75,64,51068121,8549581,106539,24289,1/1/11,
55,3,West Virginia,89,1397,89,1280,100,92,1055429609,1046613217,1551171,7214399241,1/1/11,
56,5,Wisconsin,131,936,131,444,100,47,168036607,104790,56475,33,1/1/11,
57,8,Wyoming,22,771,22,699,100,91,17076822,3333497145,3285,1782383,1/1/11,
0,4,Alabama,183,1501,183,923,100,61,1108025442,2174491467,229365,606408,1/1/12,
1,10,Alaska,42,35,34,22,81,63,82631313,25586203,37882,1755,1/1/12,
2,9,American Samoa,4,2,4,1,100,50,4464265,0,389,0,1/1/12,
3,9,Arizona,80,129,72,115,90,89,1294972029,72997084,209946,56651,1/1/12,
4,6,Arkansas,117,712,116,711,99,100,455184277,29029940,79632,7459,1/1/12,
5,9,California,263,317,235,240,89,76,3439785637,3323086,507039046,153,1/1/12,
6,8,Colorado,127,453,121,257,95,57,265223950,104710453,49304,95354,1/1/12,
7,1,Connecticut,95,77,95,75,100,97,30743410,103254189,910820,8299,1/1/12,
8,3,Delaware,18,34,17,30,94,88,95784165,546382,283603,2288,1/1/12,
9,3,District Of Columbia,4,7,4,5,100,71,10993444,6088,8498,1,1/1/12,
